NUMBER=1
TIME=90
PLAYER x=90,y=290,type=red
 
WALL x=40,y=400,width=205,height=5
WALL x=240,y=360,width=5,height=45
WALL x=240,y=360,width=365,height=5
WALL x=600,y=200,width=5,height=165
WALL x=600,y=200,width=45,height=5
WALL x=640,y=200,width=5,height=165
WALL x=640,y=360,width=125,height=5
WALL x=760,y=160,width=5,height=205
WALL x=560,y=160,width=205,height=5
WALL x=560,y=160,width=5,height=45
WALL x=200,y=200,width=365,height=5
WALL x=200,y=200,width=5,height=165
WALL x=160,y=360,width=45,height=5
WALL x=160,y=200,width=5,height=165
WALL x=40,y=200,width=125,height=5
WALL x=40,y=200,width=5,height=205
 
ENEMY x=570,y=210,width=20,height=20,movement=basic,direction=HORIZONTAL,sign=-1
ENEMY x=210,y=250,width=20,height=20,movement=basic,direction=HORIZONTAL,sign=1
ENEMY x=570,y=290,width=20,height=20,movement=basic,direction=HORIZONTAL,sign=-1
ENEMY x=210,y=330,width=20,height=20,movement=basic,direction=HORIZONTAL,sign=1
 
INITIAL_ZONE x=45,y=205,width=120,height=200
FINAL_ZONE x=645,y=165,width=120,height=200
